saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL_resstiff,PIDL_over_FEM
39,40,psi_raw,right_band_mean,0.008370327883069819,0.008444149047136307,1.0088193873761866
39,40,g_alpha,max,1.0000779981830776,1.002097725868225,1.0020195701623442
39,40,g_alpha,p999,1.000054475528796,1.0020242929458618,1.0019697101160658
39,40,g_alpha,p99,1.0000519595853203,1.0019221305847168,1.0018700738311357
39,40,g_alpha,domain_mean,0.9848756124301707,0.9876338243484497,1.0028005688063217
39,40,g_alpha,tip_2l0_mean,0.41489257236715404,0.4018254280090332,0.9685047522457036
39,40,g_alpha,tip_2l0_integral,0.0005244242441088726,0.0005079073598608375,0.96850472793053
39,40,g_alpha,right_band_mean,1.000048970867499,1.0016887187957764,1.001639667632331
39,40,psi_active,max,0.2979344434513358,0.4186673164367676,1.4052330156488004
39,40,psi_active,p999,0.10317979629706082,0.10691068321466446,1.0361590839631258
39,40,psi_active,p99,0.034360761370532344,0.03423266112804413,0.9962719032588703
39,40,psi_active,domain_mean,0.0031361779713216897,0.0034263315610587597,1.092518215608405
39,40,psi_active,tip_2l0_mean,0.0025970015877111218,0.0009475031984038651,0.3648450593512925
39,40,psi_active,tip_2l0_integral,3.282610211155391e-06,1.1976441101069213e-06,0.3648450571551054
39,40,psi_active,right_band_mean,0.008370723935258402,0.008458225056529045,1.0104532322350375
68,69,alpha_bar,max,18.459121704101562,2.7445032596588135,0.14868005659494585
68,69,alpha_bar,p999,8.433470001220847,1.6193705797195435,0.19201711507660785
68,69,alpha_bar,p99,5.670693426132202,1.0364311933517456,0.18276974533230267
68,69,alpha_bar,domain_mean,0.23574995771802848,0.24405893683433533,1.0352448806215477
68,69,alpha_bar,tip_2l0_mean,1.0786265809304356,0.5135931372642517,0.476154719663241
68,69,alpha_bar,tip_2l0_integral,0.0013633840831443213,0.0006491817766800523,0.4761547275679417
68,69,alpha_bar,right_band_mean,0.584365829154561,0.5829592943191528,0.9975930576956508
68,69,delta_alpha_bar,max,0.5624628067016602,0.3516468405723572,0.6251912773298745
68,69,delta_alpha_bar,p999,0.2731819796562197,0.09961391240358353,0.3646430578215321
68,69,delta_alpha_bar,p99,0.12568044662475586,0.03326629102230072,0.2646894717172982
