case_id,cycle,load_factor,threshold,support_area,centroid_x,centroid_y,rms_width_x,rms_width_y,crack_tip_x,damaged_component_size,right_boundary_connected_size,event_hit_reconstructed
T3_loading_history,19,1.0,0.0033453041599400546,0.0011722183143576658,0.034832640879352485,-0.0005066393217716884,0.006156928641246139,0.006792475456860376,0.03094146528725019,539,0,False
T3_loading_history,20,1.0,0.002470378034179518,0.0013713170797675525,0.03727898305271666,4.405443622866925e-06,0.007035912888091835,0.007363872172696169,0.03293190922244674,541,0,False
T3_loading_history,21,1.0,0.0029471242411674282,0.0012483237398422144,0.040766893159033354,-0.00031166808592397646,0.0062297333820782175,0.007534241840479691,0.03691777046060554,545,0,False
T3_loading_history,22,1.0,0.0028898464314394503,0.001155524018753574,0.044253077954426026,0.00025630213265452585,0.0063077774073068225,0.007028665253589159,0.0408948717110061,549,0,False
T3_loading_history,23,1.0,0.0023442028194932984,0.001452165955659124,0.046102561034238314,-0.0007858310036718907,0.007469420358217462,0.007924255384471902,0.04287966542624064,551,0,False
T3_loading_history,24,1.0,0.0029118728792427153,0.001319783300799902,0.05013113980222238,-0.00024872139077410473,0.006442239325487563,0.007233616654597605,0.0468398700470314,555,0,False
T3_loading_history,25,1.0,0.0026562461124063396,0.0014778940305717205,0.05274967396273115,-9.231595593513088e-05,0.007104190320547179,0.007695801918584974,0.04881268853434931,557,0,False
T3_loading_history,26,1.0,0.002768578257736245,0.0013188615867536595,0.05648332875959088,-0.0007784902111701033,0.00645726471284778,0.007417819911317448,0.0527475090526962,561,0,False
T3_loading_history,27,1.0,0.002772675572227973,0.0012378606166431447,0.059955395072853496,-1.3078708078829986e-05,0.006333202540434858,0.007218917994810158,0.05669530496713444,564,0,False
T3_loading_history,28,1.0,0.0030448125188269814,0.0014774841999960944,0.06264925086368864,-0.0005092499982224226,0.007124931183872654,0.007884018953176657,0.05868224548602132,567,0,False
T3_loading_history,29,1.0,0.002574697695679207,0.001406063824208821,0.066416204094294,-0.0011958252758331803,0.0066985035381040975,0.007770632170668265,0.06267126380423246,571,0,False
T3_loading_history,30,1.0,0.0033318452549861268,0.001371650979545467,0.07025540771042427,-0.0005808479489478293,0.006535377227879135,0.0075075080083768266,0.066672865141777,575,0,False
T3_loading_history,31,1.0,0.0063613258503352815,0.0015806461038309415,0.07813536430343287,-0.0015894664786316028,0.019060987282569972,0.021087895986490066,0.07470189037022537,589,0,False
