reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",3,3,2,psi_raw,right_band_mean,0.008559779801133548,0.008581608533859253,1.0025501511993116,0.9974563355296879,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,tip_2l0_integral,0.0019203848816807907,0.008482953533530235,4.417319473013996,0.22638163395451374,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,tip_2l0_mean,3.0775396938638497,6.7111968994140625,2.1807019785301804,0.45856793355780423,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,tip_4l0_integral,0.006181072735032181,0.024997953325510025,4.044274254180877,0.24726315208871488,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,tip_4l0_mean,2.468479551830807,4.967796802520752,2.0124925883369245,0.4968962399142926,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,tip_l0_integral,0.0006829558153269342,0.002651812043040991,3.8828456885919564,0.2575430702636632,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,tip_l0_mean,4.065212866618383,8.18460464477539,2.013327447618676,0.49669019373017553,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,top1_mean,484.6129459635417,1029.3470458984375,2.1240601483557504,0.47079646062476477,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,crack_strip_mean,0.7138950483761073,0.7323540449142456,1.0258567370373655,0.9747949824728561,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,domain_mean,0.988547794433114,0.9894117712974548,1.000873985930884,0.9991267772535111,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,max,1.0000131258612277,1.0003399848937988,1.0003268547423212,0.9996732520567937,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,p99,1.0000106767810095,1.0002505779266357,1.0002398985842815,0.999760158953246,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,p999,1.0000124634814251,1.000307559967041,1.000295092807732,0.999704994246344,,,
