mode,mode_label,saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL,PIDL_over_FEM
current_active,current active,19,20,alpha_bar,tip_2l0_mean,0.4711684432030364,0.4672994613647461,0.9917885378486117
current_active,current active,19,20,alpha_bar,tip_2l0_integral,0.0005955569492722696,0.0005906665464863181,0.9917885220012507
current_active,current active,19,20,alpha_bar,right_band_mean,0.17089664378161334,0.17145834863185883,1.0032868103071895
current_active,current active,19,20,delta_alpha_bar,max,0.2915639281272888,0.48578378558158875,1.6661312964939505
current_active,current active,19,20,delta_alpha_bar,p999,0.1082409462928785,0.10465746372938156,0.9668934660474905
current_active,current active,19,20,delta_alpha_bar,p99,0.041770939528942015,0.03507796302437782,0.8397695483979526
current_active,current active,19,20,delta_alpha_bar,domain_mean,0.004272547468768581,0.004332422744482756,1.0140139521332063
current_active,current active,19,20,delta_alpha_bar,tip_2l0_mean,0.0032813145637630185,0.0011348869884386659,0.3458635148765424
current_active,current active,19,20,delta_alpha_bar,tip_2l0_integral,4.1475818667152575e-06,1.4344972214530571e-06,0.345863509763372
current_active,current active,19,20,delta_alpha_bar,right_band_mean,0.008515205600063297,0.008552731946110725,1.004406980619135
current_active,current active,19,20,psi_raw,max,842.2301635742188,2809.178955078125,3.3354053043608136
current_active,current active,19,20,psi_raw,p999,654.114823425293,2586.77587890625,3.954620482930682
current_active,current active,19,20,psi_raw,p99,401.088198852539,0.05988895148038864,0.00014931616450377527
current_active,current active,19,20,psi_raw,domain_mean,1.1144562220934804,2.1065001487731934,1.8901596195642223
current_active,current active,19,20,psi_raw,tip_2l0_mean,48.94149887901553,44.0135612487793,0.899309630005035
current_active,current active,19,20,psi_raw,tip_2l0_integral,0.06186205843297202,0.055633142590522766,0.8993095929842307
current_active,current active,19,20,psi_raw,right_band_mean,0.008514877528284918,0.00854555144906044,1.0036023913055272
current_active,current active,19,20,g_alpha,max,1.0000573043462422,1.0010937452316284,1.0010363814962222
current_active,current active,19,20,g_alpha,p999,1.0000456019022517,1.0010437965393066,1.0009981491195563
current_active,current active,19,20,g_alpha,p99,1.0000405014353315,1.0009515285491943,1.0009109902174513
current_active,current active,19,20,g_alpha,domain_mean,0.987382501311347,0.988926112651825,1.0015633367397416
current_active,current active,19,20,g_alpha,tip_2l0_mean,0.41810288206861745,0.41312140226364136,0.9880855167026604
current_active,current active,19,20,g_alpha,tip_2l0_integral,0.0005284820758240556,0.0005221854662522674,0.9880854813061162
current_active,current active,19,20,g_alpha,right_band_mean,1.0000394367602232,1.0008503198623657,1.000810851124801
current_active,current active,19,20,psi_active,max,0.3224991727161346,0.48578378558158875,1.506310175899825
current_active,current active,19,20,psi_active,p999,0.10472564843095324,0.10465746372938156,0.9993489207028722
current_active,current active,19,20,psi_active,p99,0.03415577241922712,0.03507796302437782,1.0269995535112413
current_active,current active,19,20,psi_active,domain_mean,0.004197366516029803,0.004332422744482756,1.032176420128471
current_active,current active,19,20,psi_active,tip_2l0_mean,0.0009012618220446963,0.0011348869884386659,1.2592200853065574
current_active,current active,19,20,psi_active,tip_2l0_integral,1.139195013960662e-06,1.4344972214530571e-06,1.2592200666905238
current_active,current active,19,20,psi_active,right_band_mean,0.00851520999611085,0.008552731946110725,1.0044064620857283
current_active,current active,19,20,history_driver,max,0.2915639281272888,0.48578378558158875,1.6661312964939505
current_active,current active,19,20,history_driver,p999,0.1082409462928785,0.10465746372938156,0.9668934660474905
current_active,current active,19,20,history_driver,p99,0.041770939528942015,0.03507796302437782,0.8397695483979526
current_active,current active,19,20,history_driver,domain_mean,0.004272547468768581,0.004332422744482756,1.0140139521332063
